merchantname,category
sate babi & bakut aleng,Makanan & Minuman
depot gimbo babi asap,Makanan & Minuman
bakwan babi sinyo kelapa gading,Makanan & Minuman
mcdonald's noboribetsu wakakusacho,Makanan & Minuman
pizza hut delivery - phd indonesia,Makanan & Minuman
starbuck’s sarana jaya,Makanan & Minuman
burger hans,Makanan & Minuman
kopi janji jiwa multatuli rangkasbitung (jilid 753),Makanan & Minuman
nike,Belanja
babi panggang tgr 99 sunter,Makanan & Minuman
mcdonald's,Makanan & Minuman
pizza hut delivery - phd indonesia,Makanan & Minuman
mcdonald's,Makanan & Minuman
janji jiwa & jiwa toast raya serang cikupa,Makanan & Minuman
seven strings music school and audio productions,Hobi & Gaya Hidup
sate babi roxy,Makanan & Minuman
pizza hut delivery - phd indonesia,Makanan & Minuman
kopi janji jiwa ki ajurum serang jilid 367,Makanan & Minuman
nike,Belanja
hans car interior,Transportasi
"babi panggang tgr 99, green garden",Makanan & Minuman
warung sate babi buana 94,Makanan & Minuman
pizza hut delivery - phd indonesia,Makanan & Minuman
kfc,Makanan & Minuman
hans coffee,Makanan & Minuman
kopi janji jiwa tigaraksa,Makanan & Minuman
pt indopay merchant services,Top Up
merchant bros. craft bar,Hiburan
mblobor,Belanja
mimoi cookies,Makanan & Minuman
the merchant terminal 3 soekarno-hatta airport (cgk),Makanan & Minuman
next generation,Belanja
mnm,Makanan & Minuman
timuthi,Belanja
semesta,Belanja
barbados,Belanja
merah manis,Makanan & Minuman
barokah,Belanja
jeremiah,Makanan & Minuman
merchant toko rejeki kosmetik,Perawatan Diri
multiply,Belanja
spartan merchant,Belanja
molukas,Belanja
toko nadda collection,Belanja
wendy's,Makanan & Minuman
wendy's,Makanan & Minuman
wendy's,Makanan & Minuman
wendys itc roxy mas,Makanan & Minuman
wendy's,Makanan & Minuman
wendy's,Makanan & Minuman
wendy's,Makanan & Minuman
wendy's,Makanan & Minuman
nasgor popeye,Makanan & Minuman
toko awwaly 1,Belanja
mondial - plaza indonesia level 1,Belanja
1 tech store,Belanja
wendy's,Makanan & Minuman
wendys mangga dua square,Makanan & Minuman
wendy’s transpark bintaro,Makanan & Minuman
super indo mediterania garden residence 1,Makanan & Minuman
mu gung hwa the newton 1,Makanan & Minuman
indomaret wijaya 1,Makanan & Minuman
"1/15 coffee, menteng",Makanan & Minuman
indomaret lontar no.1 (fdib),Makanan & Minuman
tokyo 1 store,Makanan & Minuman
warung pintar mampang prapatan v-1,Makanan & Minuman
moto 1 racing,Transportasi
kompleks pertokoan menteng prada blok 7e lt.1,Uang Keluar
alfamart swadaya 1,Makanan & Minuman
kopi biasa 1,Makanan & Minuman
"1/15 coffee, hyundai motorstudio senayan park",Makanan & Minuman
"1/15 coffee, spark",Makanan & Minuman
bakpau a-satu,Makanan & Minuman
alfamidi minangkabau 1,Makanan & Minuman
popeyes jatiwarna,Makanan & Minuman
popeyes u-town upj,Makanan & Minuman
popeyes pik,Makanan & Minuman
popeyes kramat,Makanan & Minuman
popeyes duren sawit,Makanan & Minuman
john fashion,Belanja
john & james (outlet puri indah mall),Belanja
popeye potato & drink,Makanan & Minuman
popeyes kemang,Makanan & Minuman
popeyes jatiwaringin,Makanan & Minuman
popeyes mampang,Makanan & Minuman
popeye olive,Makanan & Minuman
popeyes ciledug,Makanan & Minuman
kedai popeyes,Makanan & Minuman
popeyes hankam pondok gede,Makanan & Minuman
popeyes bintaro,Makanan & Minuman
bakmi ayam jamur popeye,Makanan & Minuman
popeyes cinere,Makanan & Minuman
john salon,Perawatan Diri
"jack & john kitchen, thamrin",Makanan & Minuman
fotografer john santoso,Hobi & Gaya Hidup
bakmi john,Makanan & Minuman
roti john kayu manis,Makanan & Minuman
roti john xl rawamangun,Makanan & Minuman
"roti john xl, blok m",Makanan & Minuman
jack & john kitchen,Makanan & Minuman
"jack & john kitchen, sunter",Makanan & Minuman
john & james green lake city,Makanan & Minuman
"roti john xl, joglo",Makanan & Minuman
brutus sparepart motor,Transportasi
nasi kapau uda john,Makanan & Minuman
roti john klenger,Makanan & Minuman
jack & john,Makanan & Minuman
brutus ice cream & sosis bakar,Makanan & Minuman
brutus rumah mode,Belanja
brutus residence,Belanja
brutus,Belanja
rumah brutus,Belanja
brutus cell 2,Tagihan
"ayam goreng sambel mampus""bang brutus""",Makanan & Minuman
hamzah,Belanja
hamzah collection,Belanja
toko amir hamzah,Belanja
amir hamzah mosque,Hadiah & Amal
toko hamzah,Uang Keluar
toko hamzah,Uang Keluar
hamzah abdul aziz,Uang Keluar
rptra amir hamzah,Hiburan
fore coffee - the city tower,Makanan & Minuman
"fore coffee - panin bank building, jakarta",Makanan & Minuman
fore coffee - paus rawamangun,Makanan & Minuman
fore coffee - senopati,Makanan & Minuman
fore coffee - central park mall,Makanan & Minuman
"fore coffee - cikini, jakarta",Makanan & Minuman
"fore coffee - pondok bambu, jakarta",Makanan & Minuman
fore coffee - gama tower,Makanan & Minuman
"fore coffee - millennium centennial center, jakarta",Makanan & Minuman
fore coffee - djakarta theater,Makanan & Minuman
gojek,Transportasi
"fore coffee - gandaria city, jakarta",Makanan & Minuman
fore coffee - tebet,Makanan & Minuman
"fore coffee - plaza festival, jakarta",Makanan & Minuman
fore coffee,Makanan & Minuman
fore coffee - kuningan city mall,Makanan & Minuman
fore coffee - thamrin residences,Makanan & Minuman
"fore coffee - cideng, jakarta",Makanan & Minuman
fore coffee - bendungan hilir,Makanan & Minuman
"fore coffee - daan mogot, jakarta",Makanan & Minuman
bakmie popeye,Makanan & Minuman
kopi janji jiwa cilegon perumnas,Makanan & Minuman
kemang timur ops office gojek,Transportasi
pangkalan gojek danau dibawah benhil,Transportasi
pangkalan gojek grab panca,Transportasi
gojek gintung,Transportasi
bc gojek taman segitiga,Transportasi
popeyes karawaci,Makanan & Minuman
kopi janji jiwa jilid 442 $$,Makanan & Minuman
kfc bintaro sektor 9,Makanan & Minuman
cs gojek,Transportasi
kedai popeye,Makanan & Minuman
janji jiwa,Makanan & Minuman
sate babi o yen,Makanan & Minuman
bc gojek jaguar 28,Transportasi
popeye digital,Makanan & Minuman
janji jiwa cikande jilid 826,Makanan & Minuman
sate babi moro seneng,Makanan & Minuman
gojek bkkbn,Transportasi
koran kabar gapura,Makanan & Minuman
127 cafe - kosenda hotel,Makanan & Minuman
pondok makan ehsan,Makanan & Minuman
markas besar gojek,Transportasi
warung anjay,Makanan & Minuman
janji jiwa and jiwa toast #94,Makanan & Minuman
the cafe menteng,Makanan & Minuman
jamsostek,Tagihan
"kantor terdekat prudential bekasi barat timur kemang pratama pekayon bintara, lebak bulus",Tagihan
bank negara indonesia - kcu gambir,Uang Keluar
kfc,Makanan & Minuman
bc gojek bunga matraman,Transportasi
anjay (anugrah jaya collection),Makanan & Minuman
mcdonald's perdatam,Makanan & Minuman
mercy's coffee,Makanan & Minuman
jamsostek kebon sirih,Tagihan
asuransi prudential - maryatin bekasi,Tagihan
bni,Uang Keluar
shelter gojek gondangdia,Transportasi
warung kong anjay,Makanan & Minuman
kawisari cafe & eatery,Makanan & Minuman
bpjs ketenagakerjaan grha bpjamsostek,Tagihan
prudential transmart juanda bekasi timur,Tagihan
bni,Uang Keluar
gojek lrt setia budi,Transportasi
keday anjay,Makanan & Minuman
the terrace cafè,Makanan & Minuman
brown bag - specialty sandwich & coffee,Makanan & Minuman
bpjamsostek salemba,Tagihan
agen prudential,Tagihan
bni plaza menteng,Uang Keluar
gojek sunda kelapa,Transportasi
eatwell coffee cikini,Makanan & Minuman
anjay azka nur khoiriy,Uang Keluar
bpjs ketenagakerjaan jakarta gambir,Tagihan
agen prudential,Tagihan
bni,Uang Keluar
gojek d hotel,Transportasi
pecel lele anjay senopati - anugerah jaya,Makanan & Minuman
metro cafe,Makanan & Minuman
plaza bp jamsostek,Tagihan
asuransi prudential syariah,Tagihan
atm bni kln plaza indonesia,Uang Keluar
eiger adventure store mall plaza atrium jakarta pusat,Belanja
eiger adventure store tebet jakarta selatan,Belanja
eiger adventure flagship store jakarta selatan,Belanja
eiger,Belanja
eiger adventure store kalimalang jakarta timur,Belanja
eiger adventure store tangerang selatan,Belanja
eiger adventure store rawamangun jakarta timur,Belanja
eiger adventure store mall citraland jakarta barat,Belanja
eiger adventure store kemanggisan jakarta barat,Belanja
eiger,Belanja
eiger adventure store ciledug tangerang,Belanja
eiger adventure store jakarta utara,Belanja
eiger store jatibening bekasi,Belanja
eiger adventure store ampera kemang jakarta selatan,Belanja
eiger adventure store jatiwaringin bekasi,Belanja
eiger adventure store buaran jakarta timur,Belanja
eiger adventure store karang tengah,Belanja
eiger adventure store cinere depok,Belanja
optik shangrila,Kesehatan
a&w restaurant - pasar tanah abang blok a,Makanan & Minuman
mitsubishi dipo puri indah - jakarta barat,Transportasi
a&w metro tanah abang,Makanan & Minuman
starbucks - metropole,Makanan & Minuman
dunkin donuts (spbu pos pengumben),Makanan & Minuman
kedai anjay,Makanan & Minuman
subway - fx sudirman,Makanan & Minuman
starbucks tomang raya,Makanan & Minuman
bpjs ketenagakerjaan jakarta kebon sirih,Tagihan
asuransi prudential bekasi,Tagihan
bni cab.grand indonesia,Uang Keluar
pt. ciwangi berlian motors ( colt diesel / fuso),Transportasi
a&w restaurant - hayam wuruk,Makanan & Minuman
starbucks plaza festival,Makanan & Minuman
subway stasiun gambir,Makanan & Minuman
kopi janji jiwa hxc jilid 88,Makanan & Minuman
anjay cell 2,Tagihan
bpjs ketenagakerjaan,Tagihan
prudential life assurance agent,Tagihan
mitsubishi jakarta barat,Transportasi
a&w restoran - atrium plaza,Makanan & Minuman
starbucks chase plaza,Makanan & Minuman
dunkin' donuts kelapa gading,Makanan & Minuman
warkop anjay,Makanan & Minuman
subway setiabudi one,Makanan & Minuman
bpjs ketenagakerjaan jakarta menara jamsostek,Tagihan
prudential prufighters agency,Tagihan
bni thamrin city,Uang Keluar
bpjs ketenagakerjaan jakarta pluit,Tagihan
dealer mitsubishi tebet sales & service,Transportasi
a&w restaurant - perhimpunan marga huang,Makanan & Minuman
starbucks cik ditiro,Makanan & Minuman
dunkin' donuts spbu tanjung barat,Makanan & Minuman
abidzar boba drink(aboba),Makanan & Minuman
subway - central park,Makanan & Minuman
kfc,Makanan & Minuman
sunter anjay,Uang Keluar
jamsostek mangga dua,Tagihan
prudential bekasi timur,Tagihan
dealer mitsubishi latumenten - pt. bumen redja abadi,Transportasi
a&w restoran - plaza festival,Makanan & Minuman
starbucks grand indonesia seibu,Makanan & Minuman
dunkin' donuts,Makanan & Minuman
subway - pacific place mall,Makanan & Minuman
janji jiwa & jiwa toast gedung agd dinkes dki jakarta,Makanan & Minuman
swab pluit ke quicktest aja,Kesehatan
pt juda teruna mitsubishi motors,Transportasi
a&w restoran - plaza semanggi,Makanan & Minuman
starbucks sabang,Makanan & Minuman
dunkin' donuts,Makanan & Minuman
subway - wisma 46,Makanan & Minuman
kopi janji jiwa gloria suites,Makanan & Minuman
swabaja golden,Kesehatan
mitsubishi srikandi mampang,Transportasi
a&w restaurant - blok m square,Makanan & Minuman
starbucks bendungan hilir,Makanan & Minuman
dunkin' donuts - plaza kalibata,Makanan & Minuman
subway - pik,Makanan & Minuman
kopi sejuta jiwa by janji jiwa,Makanan & Minuman
swabaja pik,Kesehatan
dealer mitsubishi tebet bumen redja abadi,Transportasi
a&w restoran - itc permata hijau 1,Makanan & Minuman
starbucks,Makanan & Minuman
dunkin',Makanan & Minuman
subway pim 3,Makanan & Minuman
"janji jiwa, jiwa toast & joomba sayana apartment",Makanan & Minuman
kopi janji jiwa katamso jilid 52,Makanan & Minuman
swab aja office,Kesehatan
a&w restoran - mampang,Makanan & Minuman
starbucks,Makanan & Minuman
dunkin' donuts mall ambasador,Makanan & Minuman
aboba drink taman sawangan baru,Makanan & Minuman
menya sakura - æon mall bsd city,Makanan & Minuman
subway - lippo mall puri,Makanan & Minuman
mcdonald's mampang,Makanan & Minuman
kopi janji jiwa slipi jaya jilid 173,Makanan & Minuman
dealer mitsubishi jakarta barat (penjualan),Transportasi
swab & mcu family clinic,Kesehatan
a&w restoran - rawamangun,Makanan & Minuman
starbucks plaza indonesia lv 4,Makanan & Minuman
dunkin' donuts rs harapan kita,Makanan & Minuman
menya sakura mall kota kasablanka,Makanan & Minuman
mcdonald's pgc,Makanan & Minuman
starbucks cideng,Makanan & Minuman
mitsubishi kelapa gading,Transportasi
ciledug swab center,Kesehatan
a&w restoran - mall ambasador,Makanan & Minuman
starbucks,Makanan & Minuman
menya ichiza,Makanan & Minuman
mcdonald's,Makanan & Minuman
qr lab swab test pv,Kesehatan
a&w restaurant - rs st. carolus,Makanan & Minuman
starbucks plaza menteng,Makanan & Minuman
dunkin' arteri pondok indah,Makanan & Minuman
menya musashi bukotsu,Makanan & Minuman
mcdonald's jatipadang,Makanan & Minuman
starbucks community store tanah abang,Makanan & Minuman
dealer showroom mitsubishi jakarta pusat (sales),Transportasi
jakarta swab centre,Kesehatan
aw,Makanan & Minuman
dunkin’ hayam wuruk,Makanan & Minuman
menya sakura,Makanan & Minuman
mccafe,Makanan & Minuman
mitsubishi batavia pulo gadung official,Transportasi
swabaja kalideres,Kesehatan
d' bebeks,Makanan & Minuman
bebek triple s - sambal suka-suka,Makanan & Minuman
sate babi benteng,Makanan & Minuman
tk.wendy's,Makanan & Minuman
wendy's shell soepomo,Makanan & Minuman
popeyes pemuda rawamangun,Makanan & Minuman
popeye skyline building thamrin,Makanan & Minuman
"fore coffee - plaza indonesia, jakarta",Makanan & Minuman
a&w restoran - ratu plaza,Makanan & Minuman
starbucks djakarta theater,Makanan & Minuman
starbucks tcc batavia,Makanan & Minuman
swabid,Kesehatan
dunkin donuts mangga besar,Makanan & Minuman
abuba steak - jatiasih,Makanan & Minuman
menya musashi,Makanan & Minuman
zi-nie exclusive,Belanja
lapak tivera 1,Belanja
brutus celluler,Belanja
brutus rumah mode alam sutera,Belanja
gojek pom,Transportasi
eiger salemba tengah,Belanja
eiger adventure store bintaro tangerang selatan,Belanja
mitsubishi sun motor matraman,Transportasi
a & w,Makanan & Minuman
starbucks setiabudi one,Makanan & Minuman
soto betawi pak kumis mampang prapatan,Makanan & Minuman
soto sapi khas betawi pak kumis,Makanan & Minuman
warung soto ayam pak kumis,Makanan & Minuman
menya sakura,Makanan & Minuman
popeyes lenteng agung,Makanan & Minuman
mitsubishi srikandi pos pengumben,Transportasi
pt syn toba grafika,Belanja
tali string monaco textile,Hobi & Gaya Hidup
allfour strings,Hobi & Gaya Hidup
drive thru swab raline medica,Kesehatan
a&w restoran - cipete,Makanan & Minuman
starbucks uob plaza,Makanan & Minuman
dunkin' bandengan,Makanan & Minuman
menya ichiza,Makanan & Minuman
pt mitsubishi motors krama yudha sales indonesia (mmksi),Transportasi
fastlab swab point crowne plaza,Kesehatan
a&w restoran - ancol (pantai indah),Makanan & Minuman
starbucks mrt bundaran hi,Makanan & Minuman
dunkin',Makanan & Minuman
menya musashi bukotsu summarecon bekasi,Makanan & Minuman
pass swab puri,Kesehatan
mitsubishi dipo gatsu,Transportasi
colabpharma.id,Kesehatan
a&w restaurant - mangga dua square ug,Makanan & Minuman
starbucks drive thru hayam wuruk,Makanan & Minuman
dunkin donuts hasyim ashari,Makanan & Minuman
ayam kalasan bu nur,Makanan & Minuman
kfc,Makanan & Minuman
mitsubishi pusat jakarta,Transportasi
a&w restoran - puri indah mall,Makanan & Minuman
starbucks tata puri,Makanan & Minuman
dunkin' kramat raya,Makanan & Minuman
ayam goreng bu min 73,Makanan & Minuman
rapid test antigen dan pcr test kranggan permai,Kesehatan
pt. lautan berlian jembatan lima,Belanja
mitsubishi jakarta,Transportasi
starbucks,Makanan & Minuman
shangri-la jakarta,Hiburan
dunkin' donuts,Makanan & Minuman
dunkin' rawamangun,Makanan & Minuman
abuba steak,Makanan & Minuman
abuba steak - senopati,Makanan & Minuman
abuba steak - mampang,Makanan & Minuman
abuba steak - jatiwaringin,Makanan & Minuman
abuba steak - ciputat,Makanan & Minuman
abuba steak,Makanan & Minuman
abuba steak - citra garden,Makanan & Minuman
abuba steak,Makanan & Minuman
abuba steak,Makanan & Minuman
abuba steak - green lake,Makanan & Minuman
abuba steak - tanjung duren,Makanan & Minuman
abuba steak - cinere,Makanan & Minuman
abuba steak - buaran,Makanan & Minuman
abuba steak,Makanan & Minuman
abuba steak - gandaria,Makanan & Minuman
abuba steak - cipete,Makanan & Minuman
abuba steak - matraman,Makanan & Minuman
abuba steak tebet,Makanan & Minuman
abuba steak,Makanan & Minuman
pondok shangrila,Hiburan
catering 70,Makanan & Minuman
ayam geprek si cocoh,Makanan & Minuman
kfc box thamrin city,Makanan & Minuman
pt syn berta utama,Belanja
bank negara indonesia - kln rasuna said,Uang Keluar
bakmi sangrila,Makanan & Minuman
bakso super 70,Makanan & Minuman
kfc cikini,Makanan & Minuman
ayam goreng kampung lima,Makanan & Minuman
kfc pasar baru jakarta,Makanan & Minuman
kfc,Makanan & Minuman
bni,Uang Keluar
sorry jakarta,Makanan & Minuman
dapoer ayam sorry,Makanan & Minuman
dapoer cici 70,Makanan & Minuman
mie ayam 70,Makanan & Minuman
kfc kemang,Makanan & Minuman
ayam goreng om bozz,Makanan & Minuman
kfc,Makanan & Minuman
wendy's,Makanan & Minuman
shangrila,Hiburan
lapangan futsal sangrila indah ii kampung sawah,Hobi & Gaya Hidup
synthesis communications indonesia,Belanja
bni,Uang Keluar
toko sepeda wangsa,Hobi & Gaya Hidup
grapari telkomsel wisma alia,Uang Keluar
rental mobil avanza,Transportasi
"limau, jatibening - ranting 70",Makanan & Minuman
kfc tugu tani,Makanan & Minuman
"nasi ayam ori, menteng",Makanan & Minuman
shangrila fashion,Belanja
ridho syn exchanger,Uang Keluar
bni mm2100,Uang Keluar
toko sepeda dhoho jaya abadi,Hobi & Gaya Hidup
"- "" toko bu tulus "" ( ismi )",Uang Keluar
warkop avanza 1,Transportasi
shangrila bak pau restaurant,Makanan & Minuman
ayam sorry (geprek & penyet),Makanan & Minuman
kfc food avenue lotte kuningan,Makanan & Minuman
ayam bakar taufik barokah,Makanan & Minuman
wendy's,Makanan & Minuman
syn beauty,Perawatan Diri
bni,Uang Keluar
toko sepeda prijaya,Hobi & Gaya Hidup
pt ezeelink indonesia,Uang Keluar
parkiran mobil avanza,Transportasi
syn synaps klinik anak dan stroke,Kesehatan
jia,Makanan & Minuman
"70 mae la komae suites - kopi pak dhe, lsii & juridique",Makanan & Minuman
ayam goreng suharti,Makanan & Minuman
kfc wisma bni 46 jakarta,Makanan & Minuman
kfc,Makanan & Minuman
wendy's,Makanan & Minuman
atm link bni alfamidi,Uang Keluar
lima saudara bicycle store,Hobi & Gaya Hidup
pt arina multi karya,Uang Keluar
warung nasi mobil avanza,Transportasi
kfc tanjung duren,Makanan & Minuman
ayam bakar semestha,Makanan & Minuman
kfc halte gambir,Makanan & Minuman
kfc,Makanan & Minuman
taman shangrila indah unit 1,Hiburan
bni,Uang Keluar
toko sepeda ori bike,Hobi & Gaya Hidup
rental mobil avanza murah,Transportasi
shangrila indah ii,Hiburan
ayam penyet cabe ijo nineteen,Makanan & Minuman
kfc,Makanan & Minuman
sorry aku udh punya pacar,Uang Keluar
atm bni spbu tambun,Uang Keluar
venska toko sepeda,Hobi & Gaya Hidup
grha bni,Uang Keluar
lenna.ai - pt. sinergi digital teknologi,Uang Keluar
nishimura,Makanan & Minuman
kfc,Makanan & Minuman
ayam bakar dan ayam kremes pak amin,Makanan & Minuman
bubur ayam nano cirebon,Makanan & Minuman
warung ijo,Makanan & Minuman
kopi janji jiwa balai kota jakarta,Makanan & Minuman
ayam bakar suka suka,Makanan & Minuman
kopi janji jiwa tomohon,Makanan & Minuman
syn films,Hiburan
barbershop 70 hen tanamo,Perawatan Diri
pln enjiniring (plne),Tagihan
bayar listrik pam telepon bpjs angsuran isi pulsa token listrik isi ovo isi gopay,Tagihan
adapundi,Pinjaman
atm bni,Uang Keluar
toko sepeda lancar jaya,Hobi & Gaya Hidup
pojok pulsa elektrik murah - distributor pulsa jakarta,Tagihan
syn print,Belanja
syn art ink tattoo - jkt,Hobi & Gaya Hidup
smpn 70 jakarta,Pendidikan
pt pln (persero) up3 lenteng agung,Tagihan
"pulsa all operator, token pln, listrik",Tagihan
kfc,Makanan & Minuman
bubur ayam h. hadi,Makanan & Minuman
ayam penyet sambel ijo bang h. iis,Makanan & Minuman
kfc s.parman,Makanan & Minuman
pt amalan international indonesia,Pinjaman
bni tambun,Uang Keluar
janji jiwa jilid 55,Makanan & Minuman
kfc,Makanan & Minuman
starbucks citywalk sudirman,Makanan & Minuman
toko sepedah,Hobi & Gaya Hidup
ayam goreng mana suka,Makanan & Minuman
starbucks muroran shop,Makanan & Minuman
bukalapak engineering office,Belanja
toko cat avanza cipayung,Transportasi
wendy's,Makanan & Minuman
shangrila,Hiburan
shangrila jaya wood products,Belanja
satoo,Makanan & Minuman
syn’s,Hiburan
bb no 70,Uang Keluar
pln unit pelaksana pelayanan pelanggan (up3) bandengan,Tagihan
"jual pulsa, token listrik, dan tagihan",Tagihan
kfc atrium senen,Makanan & Minuman
bubur ase bang lopi,Makanan & Minuman
ijo sustainable,Makanan & Minuman
kfc,Makanan & Minuman
pinjam yuk - pt kuaikuai tech indonesia,Pinjaman
bank bni grand wisata,Uang Keluar
janji jiwa,Makanan & Minuman
starbucks kemanggisan raya,Makanan & Minuman
toko sepeda tanah mas,Hobi & Gaya Hidup
ayam bakar mama suka,Makanan & Minuman
kopi janji jiwa jilid 103 kotabaru,Makanan & Minuman
starbucks coffee - new chitose airport,Makanan & Minuman
atm bni,Uang Keluar
pt. nusa satu inti artha,Top Up
sewa avanza palmerah,Transportasi
shangrila furniture indonesia,Belanja
syn studio,Hiburan
bni cibitung,Uang Keluar
spinwarriors plaza timor,Hobi & Gaya Hidup
atm link,Uang Keluar
kfc daan mogot,Makanan & Minuman
ayam penyet mami,Makanan & Minuman
bubur ayam wempy,Makanan & Minuman
ayam penyet abang ijo ibu ros,Makanan & Minuman
kfc gunawarman,Makanan & Minuman
avanza cell,Transportasi
janji jiwa x all season,Makanan & Minuman
starbucks,Makanan & Minuman
"kopi janji jiwa & jiwa toast, patimura",Makanan & Minuman
"starbucks coffee - sapporo, books kinokuniya",Makanan & Minuman
senyan central,Hiburan
syn tingwe 2,Belanja
smp negeri 70,Pendidikan
pt pln indonesia power kantor pusat,Tagihan
fastpay pembayar listrik dll,Tagihan
"danai.id - p2p lending, pinjaman karyawan, dan pendanaan",Pinjaman
kfc,Makanan & Minuman
bubur ayam asiatic,Makanan & Minuman
pisang ijo cendana,Makanan & Minuman
kfc,Makanan & Minuman
warung mini,Makanan & Minuman
kopi janji jiwa tanah abang,Makanan & Minuman
starbucks s. parman,Makanan & Minuman
mama qu suka fried chicken,Makanan & Minuman
"kopi janji jiwa jilid 57, 17 agustus",Makanan & Minuman
starbucks coffee - hakodate bayside,Makanan & Minuman
warkop kelontong link aja,Makanan & Minuman
wendy's,Makanan & Minuman
syn a2z autocare,Transportasi
tokoqu syn,Belanja
"""to na 70""",Uang Keluar
pt pln (persero) engineering services gunung sahari,Tagihan
asosiasi fintech pendanaan bersama indonesia (afpi),Pinjaman
sekretariat avanza owners indonesia,Transportasi
kfc lokasari plaza,Makanan & Minuman
bubur ayam mas aris,Makanan & Minuman
kopi janji jiwa thamrin city,Makanan & Minuman
kfc plaza senayan,Makanan & Minuman
starbucks,Makanan & Minuman
janji jiwa & jiwa toast sutomo tower,Makanan & Minuman
starbucks coffee - sapporo parco,Makanan & Minuman
syn tingwe agen tembakau,Hobi & Gaya Hidup
state senior high school 70 of jakarta,Pendidikan
"jual beli ps 3, ps 4, ps 5 nitendo, steam deck, x box, rog ally (sejahtera gadget store)",Hobi & Gaya Hidup
pln gis karet baru,Tagihan
bayar pln / token listrik,Tagihan
kredito,Pinjaman
sewa mobil avanza dll,Transportasi
ayam goreng sekandang menteng,Makanan & Minuman
bubur ayam parkiran,Makanan & Minuman
mie ayam solo sambal ijo belakang gi (grand indonesia),Makanan & Minuman
kopi janji jiwa cikini jilid 152,Makanan & Minuman
suka suka fried chiken,Makanan & Minuman
popeye's,Makanan & Minuman
janji jiwa,Makanan & Minuman
starbucks coffee - hakodate goryokaku station,Makanan & Minuman
djakarta cafe,Makanan & Minuman
syn betta collections,Belanja
kost bungur 70,Tagihan
pt pln (persero) kantor pusat,Tagihan
kantor fungsional tunaiku,Pinjaman
bubur ayam pak gendut,Makanan & Minuman
kelapa muda ijo,Makanan & Minuman
kopi janji jiwa menteng huis,Makanan & Minuman
warung makan suka,Makanan & Minuman
janji jiwa cipayung,Makanan & Minuman
starbucks coffee - hakodate tsutaya books,Makanan & Minuman
new memories cafe,Makanan & Minuman
syn tingwe 3,Belanja
kost 70,Tagihan
bali,Uang Keluar
pln unit pelaksana pelayanan pelanggan bulungan,Tagihan
listrik pintar,Tagihan
danabijak,Pinjaman
bubur ayam bang udin,Makanan & Minuman
nasi cabe ijo mbak nik,Makanan & Minuman
warung nasi mama suka,Makanan & Minuman
kopi janji jiwa,Makanan & Minuman
starbucks coffee - sapporo stellar place center 1f,Makanan & Minuman
the people's cafe,Makanan & Minuman
beauty and brow by syn,Perawatan Diri
70 mobilindo,Transportasi
