merchantname,category
Sate Babi Krekot,Makanan & Minuman
Tempayan Babi Asap,Makanan & Minuman
Iga Babi Ajung,Makanan & Minuman
Babi Tjoy,Makanan & Minuman
McDonald's,Makanan & Minuman
Pizza Hut Delivery - PHD Indonesia,Makanan & Minuman
Kopi Janji Jiwa Mall of Serang,Makanan & Minuman
Hans Mode,Belanja
Nongkrong kontol,
Warung Nasi Soto Betawi bu meme,
NIKE GRAND INDONESIA,Belanja
Sate Babi & Bakut Aleng,Makanan & Minuman
Depot Gimbo Babi Asap,Makanan & Minuman
Bakwan Babi Sinyo Kelapa Gading,Makanan & Minuman
McDonald's Noboribetsu Wakakusacho,Makanan & Minuman
Pizza Hut Delivery - PHD Indonesia,Makanan & Minuman
Starbuck’s Sarana Jaya,Makanan & Minuman
Burger HANS,Makanan & Minuman
Kopi Janji Jiwa Multatuli Rangkasbitung (Jilid 753),Makanan & Minuman
Raktul kontol,
MEME HOUSE,
Nike,Belanja
Babi panggang tgr 99 sunter,Makanan & Minuman
McDonald's,Makanan & Minuman
Pizza Hut Delivery - PHD Indonesia,Makanan & Minuman
McDonald's,Makanan & Minuman
Janji Jiwa & Jiwa Toast Raya Serang Cikupa,Makanan & Minuman
KFC CBD Ciledug,
MEME HOME,
Seven Strings Music School and Audio Productions,Hobi & Gaya Hidup
Sate Babi Roxy,Makanan & Minuman
Pizza Hut Delivery - PHD Indonesia,Makanan & Minuman
Kopi Janji Jiwa Ki Ajurum Serang jilid 367,Makanan & Minuman
Nike,Belanja
HANS CAR INTERIOR,Transportasi
KFC,
perkumpulan admin meme,
KFC,
"Babi Panggang TGR 99, Green Garden",Makanan & Minuman
Warung Sate Babi Buana 94,Makanan & Minuman
Pizza Hut Delivery - PHD Indonesia,Makanan & Minuman
KFC,Makanan & Minuman
HanS Coffee,Makanan & Minuman
Kopi Janji Jiwa Tigaraksa,Makanan & Minuman
WARUNG MEME,
PT Indopay Merchant Services,Top Up
Merchant Bros. Craft Bar,Hiburan
MBlobor,Belanja
Mimoi Cookies,Makanan & Minuman
The Merchant Terminal 3 Soekarno-Hatta Airport (CGK),Makanan & Minuman
Next Generation,Belanja
MNM,Makanan & Minuman
Timuthi,Belanja
Semesta,Belanja
Barbados,Belanja
Merah Manis,Makanan & Minuman
Barokah,Belanja
Jeremiah,Makanan & Minuman
Merchant Toko Rejeki Kosmetik,Perawatan Diri
Multiply,Belanja
Spartan Merchant,Belanja
Molukas,Belanja
Toko Nadda Collection,Belanja
KFC graha raya Bintaro,
warung meme,
Wendy's,Makanan & Minuman
Wendy's,Makanan & Minuman
Wendy's,Makanan & Minuman
Wendys Itc Roxy Mas,Makanan & Minuman
Wendy's,Makanan & Minuman
Wendy's,Makanan & Minuman
Wendy's,Makanan & Minuman
Wendy's,Makanan & Minuman
Nasgor popeye,Makanan & Minuman
TOKO AWWALY 1,Belanja
MONDIAL - Plaza Indonesia Level 1,Belanja
1 TECH STORE,Belanja
Wendy's,Makanan & Minuman
Wendys Mangga Dua Square,Makanan & Minuman
Wendy’s Transpark Bintaro,Makanan & Minuman
Super Indo Mediterania Garden Residence 1,Makanan & Minuman
Mu Gung Hwa The Newton 1,Makanan & Minuman
Indomaret Wijaya 1,Makanan & Minuman
"1/15 Coffee, Menteng",Makanan & Minuman
Indomaret Lontar No.1 (FDIB),Makanan & Minuman
Tokyo 1 Store,Makanan & Minuman
Warung Pintar Mampang Prapatan V-1,Makanan & Minuman
MOTO 1 RACING,Transportasi
Kompleks Pertokoan Menteng Prada Blok 7E Lt.1,Uang Keluar
Alfamart Swadaya 1,Makanan & Minuman
KFC Emerald Bintaro,
Kopi Biasa 1,Makanan & Minuman
"1/15 Coffee, Hyundai Motorstudio Senayan Park",Makanan & Minuman
Dapur Meme 2,
"1/15 Coffee, Spark",Makanan & Minuman
Bakpau A-Satu,Makanan & Minuman
Alfamidi Minangkabau 1,Makanan & Minuman
Popeyes Jatiwarna,Makanan & Minuman
Popeyes U-TOWN UPJ,Makanan & Minuman
Popeyes PIK,Makanan & Minuman
Popeyes Kramat,Makanan & Minuman
Popeyes Duren Sawit,Makanan & Minuman
John Fashion,Belanja
John & James (Outlet Puri Indah Mall),Belanja
Popeye Potato & Drink,Makanan & Minuman
Popeyes Kemang,Makanan & Minuman
Popeyes Jatiwaringin,Makanan & Minuman
Popeyes Mampang,Makanan & Minuman
Popeye Olive,Makanan & Minuman
Popeyes Ciledug,Makanan & Minuman
Kedai Popeyes,Makanan & Minuman
Popeyes Hankam Pondok Gede,Makanan & Minuman
Popeyes Bintaro,Makanan & Minuman
Bakmi Ayam Jamur Popeye,Makanan & Minuman
Popeyes Cinere,Makanan & Minuman
John Salon,Perawatan Diri
"Jack & John Kitchen, Thamrin",Makanan & Minuman
Fotografer John Santoso,Hobi & Gaya Hidup
Bakmi John,Makanan & Minuman
Roti john kayu manis,Makanan & Minuman
Roti John XL Rawamangun,Makanan & Minuman
"Roti John XL, Blok M",Makanan & Minuman
Jack & John Kitchen,Makanan & Minuman
"Jack & John Kitchen, Sunter",Makanan & Minuman
John & James Green Lake City,Makanan & Minuman
"Roti John XL, Joglo",Makanan & Minuman
Brutus sparepart motor,Transportasi
Nasi Kapau Uda John,Makanan & Minuman
Roti John Klenger,Makanan & Minuman
Jack & John,Makanan & Minuman
Brutus Ice Cream & Sosis Bakar,Makanan & Minuman
McDonald's,
Brutus Rumah Mode,Belanja
Brutus Residence,Belanja
Brutus,Belanja
Rumah Brutus,Belanja
Brutus cell 2,Tagihan
"AYAM GORENG SAMBEL MAMPUS""BANG BRUTUS""",Makanan & Minuman
Hamzah,Belanja
Hamzah Collection,Belanja
Toko Amir Hamzah,Belanja
Amir Hamzah Mosque,Hadiah & Amal
Toko Hamzah,Uang Keluar
Toko Hamzah,Uang Keluar
Hamzah Abdul Aziz,Uang Keluar
RPTRA Amir Hamzah,Hiburan
KFC,
McDonald's Tangcity Mall,
Fore Coffee - The City Tower,Makanan & Minuman
"Fore Coffee - Panin Bank Building, Jakarta",Makanan & Minuman
Fore Coffee - Paus Rawamangun,Makanan & Minuman
Fore Coffee - Senopati,Makanan & Minuman
Fore Coffee - Central Park Mall,Makanan & Minuman
"Fore Coffee - Cikini, Jakarta",Makanan & Minuman
"Fore Coffee - Pondok Bambu, Jakarta",Makanan & Minuman
Fore coffee - Gama tower,Makanan & Minuman
"Fore Coffee - Millennium Centennial Center, Jakarta",Makanan & Minuman
Fore Coffee - Djakarta Theater,Makanan & Minuman
Gojek,Transportasi
"Fore Coffee - Gandaria City, Jakarta",Makanan & Minuman
Fore Coffee - Tebet,Makanan & Minuman
"Fore Coffee - Plaza Festival, Jakarta",Makanan & Minuman
Fore Coffee,Makanan & Minuman
Fore Coffee - Kuningan City Mall,Makanan & Minuman
FORE Coffee - Thamrin Residences,Makanan & Minuman
"Fore Coffee - Cideng, Jakarta",Makanan & Minuman
Fore Coffee - Bendungan Hilir,Makanan & Minuman
"Fore Coffee - Daan Mogot, Jakarta",Makanan & Minuman
Bakmie Popeye,Makanan & Minuman
Kopi Janji Jiwa Cilegon Perumnas,Makanan & Minuman
Kemang Timur Ops office GOJEK,Transportasi
Pangkalan Gojek Danau Dibawah Benhil,Transportasi
Pangkalan Gojek Grab Panca,Transportasi
Gojek Gintung,Transportasi
KFC,
McDonald's Gading Serpong,
BC Gojek Taman Segitiga,Transportasi
Popeyes Karawaci,Makanan & Minuman
Kopi Janji Jiwa Jilid 442 $$,Makanan & Minuman
KFC Bintaro Sektor 9,Makanan & Minuman
McDonald's St. Mark Lippo Karawaci,
Cs Gojek,Transportasi
Kedai popeye,Makanan & Minuman
Janji Jiwa,Makanan & Minuman
Sate Babi O Yen,Makanan & Minuman
McDonald's - Graha Raya,
BC GOJEK JAGUAR 28,Transportasi
POPEYE DIGITAL,Makanan & Minuman
Janji Jiwa Cikande Jilid 826,Makanan & Minuman
Sate Babi Moro Seneng,Makanan & Minuman
McDonald's Summarecon Digital Center,
Gojek BKKBN,Transportasi
Koran Kabar Gapura,Makanan & Minuman
127 Cafe - Kosenda Hotel,Makanan & Minuman
Pondok Makan Ehsan,Makanan & Minuman
McDonald's Magnolia Residence,
MARKAS BESAR GOJEK,Transportasi
Warung Anjay,Makanan & Minuman
Janji jiwa and jiwa toast #94,Makanan & Minuman
The Cafe Menteng,Makanan & Minuman
Jamsostek,Tagihan
"Kantor terdekat Prudential Bekasi Barat Timur Kemang Pratama Pekayon Bintara, lebak bulus",Tagihan
Bank Negara Indonesia - KCU Gambir,Uang Keluar
KFC,Makanan & Minuman
Mcd Tangcity,
BC GOJEK BUNGA MATRAMAN,Transportasi
ANJAY (Anugrah Jaya Collection),Makanan & Minuman
McDonald's Perdatam,Makanan & Minuman
Mercy's Coffee,Makanan & Minuman
Jamsostek Kebon Sirih,Tagihan
Asuransi Prudential - Maryatin Bekasi,Tagihan
BNI,Uang Keluar
Indomart depan Australia,
ALWAN,
Place,
Soto Ayam Asli Lamongan Pa'kar,
McDonald's Downtown Alam Sutera,
SHELTER GOJEK GONDANGDIA,Transportasi
Warung Kong Anjay,Makanan & Minuman
Kawisari Cafe & Eatery,Makanan & Minuman
BPJS Ketenagakerjaan Grha Bpjamsostek,Tagihan
Prudential Transmart Juanda Bekasi Timur,Tagihan
BNI,Uang Keluar
Dapoer Koffie Nusantara,
Soto Ayam Lamongan (Cak Mus Joyo Dw),
Solaria - Gedung Sarinah,
Pusat Meki Dho21,
Apri,
HANS 2.0 Coffee & Eatery,
Hans Accessories,
chaonima,
Louis,
Nasi Ayam Dewata Sunter,
Pepek Aquafish,
sini ngops,
Aji Khojil Ngops,
Warung Tongseng & Sate Solo Ibu Putri - Kebon Kacang,
Gojek LRT Setia Budi,Transportasi
Keday Anjay,Makanan & Minuman
The Terrace Cafè,Makanan & Minuman
Brown Bag - Specialty Sandwich & Coffee,Makanan & Minuman
BPJamsostek Salemba,Tagihan
Agen Prudential,Tagihan
BNI PLAZA MENTENG,Uang Keluar
IMAHALO Resto & Cafe,
Sushi Murmer,
Soto Ayam Lamongan Ceker Kwitang,
Soto Kudus Ayam Kampung Kembang Joyo,
Solaria - Stasiun Pasar Senen,
Apri,
Louis Kebab Petojo,
Fore Coffee - WTC Sudirman,
Dewata By Monsieur Spoon,
Jetot Chicken Pepek,
Ngops bareng izal,
Sate Ayam & Kambing Theresia - Menteng,
GOJEK SUNDA KELAPA,Transportasi
EatWell Coffee Cikini,Makanan & Minuman
Anjay Azka nur khoiriy,Uang Keluar
BPJS Ketenagakerjaan Jakarta Gambir,Tagihan
Agen Prudential,Tagihan
BNI,Uang Keluar
Kampring,
Soto Ayam Kramat 2,
Solaria - Slipi Jaya Plaza,
UD Apri,
Warung Ibu Hans,
A & A,
Rs Mayapada,
Nasi ayam Dewata oleh raja rawit,
Pempek Permata,
Ngops.lah2020,
Sate Kambing Jaya Agung,
Gojek d hotel,Transportasi
Pecel Lele Anjay Senopati - Anugerah Jaya,Makanan & Minuman
Metro Cafe,Makanan & Minuman
Plaza BP Jamsostek,Tagihan
Asuransi prudential syariah,Tagihan
ATM BNI KLN PLAZA INDONESIA,Uang Keluar
Esposa,
Soto Ayam Lamongan JM - Jaya Mandiri,
Solaria - Kota Kasablanka,
Warung Apri,
Hanss Kebab,
Hans Mobilindo,
Blok A,
PT ADHIAKSA DEWATA PRATAMA,
Dapur Malaka,
NGOPS DULS,
Ciiloex ngops,
Sky Garden Cafe,
Rumah Makan Sate Tegal H. Sadjim,
EIGER Adventure Store Mall Plaza Atrium Jakarta Pusat,Belanja
EIGER Adventure Store Tebet Jakarta Selatan,Belanja
EIGER Adventure Flagship Store Jakarta Selatan,Belanja
Eiger,Belanja
EIGER Adventure Store Kalimalang Jakarta Timur,Belanja
EIGER Adventure Store Tangerang Selatan,Belanja
EIGER Adventure Store Rawamangun Jakarta Timur,Belanja
EIGER Adventure Store Mall Citraland Jakarta Barat,Belanja
EIGER Adventure Store Kemanggisan Jakarta Barat,Belanja
Eiger,Belanja
EIGER Adventure Store Ciledug Tangerang,Belanja
EIGER Adventure Store Jakarta Utara,Belanja
EIGER STORE Jatibening Bekasi,Belanja
EIGER Adventure Store Ampera Kemang Jakarta Selatan,Belanja
EIGER Adventure Store Jatiwaringin Bekasi,Belanja
EIGER Adventure Store Buaran Jakarta Timur,Belanja
EIGER Adventure store Karang Tengah,Belanja
EIGER Adventure Store Cinere Depok,Belanja
Optik Shangrila,Kesehatan
ZAZI,
A&W Restaurant - Pasar Tanah Abang Blok A,Makanan & Minuman
MITSUBISHI DIPO PURI INDAH - JAKARTA BARAT,Transportasi
A&W Metro Tanah Abang,Makanan & Minuman
Starbucks - Metropole,Makanan & Minuman
Dewata by Monsieur Spoon,
Dunkin Donuts (SPBU Pos Pengumben),Makanan & Minuman
Kedai Anjay,Makanan & Minuman
Sambal mercon podok aren 2,
CS.Ngops,
Cafe Ngops,
SUBWAY - FX SUDIRMAN,Makanan & Minuman
Starbucks Tomang Raya,Makanan & Minuman
BPJS Ketenagakerjaan Jakarta Kebon Sirih,Tagihan
ASURANSI PRUDENTIAL BEKASI,Tagihan
BNI Cab.Grand Indonesia,Uang Keluar
Bruen Coffee & Kitchen,
Soto ayam lamongan ibu UUM,
Solaria Stasiun Gambir,
Apri purwati,
Hans Petshop,
Mekdi Jakarta,
Cukimai Coffe,
Louis Garage,
The A Cafe by Acre,
The People's Cafe,
Sate Ayam Kambing Madura Moh. Amin,
PT. CIWANGI BERLIAN MOTORS ( COLT DIESEL / FUSO),Transportasi
A&W Restaurant - Hayam Wuruk,Makanan & Minuman
Starbucks Plaza Festival,Makanan & Minuman
SUBWAY STASIUN GAMBIR,Makanan & Minuman
Kopi Janji Jiwa HXC Jilid 88,Makanan & Minuman
Anjay cell 2,Tagihan
BPJS Ketenagakerjaan,Tagihan
Prudential Life Assurance Agent,Tagihan
Kustinik Coffee,
Soto Ayam Lamongan Cak Afif,
Solaria - Senayan Park Mall,
Han GI Grill Tebet,
Zoeplush (sonnia Louis Vuitton Plaza Indonesia),
Toko A 036,
pepek pak genut,
pos ngops.official,
Sate Khas Senayan Grand Indonesia,
Mitsubishi Jakarta Barat,Transportasi
A&W Restoran - Atrium Plaza,Makanan & Minuman
Starbucks Chase Plaza,Makanan & Minuman
Dunkin' Donuts Kelapa Gading,Makanan & Minuman
Warkop anjay,Makanan & Minuman
Subway Setiabudi One,Makanan & Minuman
BPJS Ketenagakerjaan Jakarta Menara Jamsostek,Tagihan
Prudential PRUfighters agency,Tagihan
BNI THAMRIN CITY,Uang Keluar
BPJS Ketenagakerjaan Jakarta Pluit,Tagihan
Soto Ayam Yu Trem,
Solaria,
Toko Apri,
"Janji Jiwa x Jiwa Toast Jilid 627, Gedung Pos",
Warteg Mekdi,
Louis,
DEWATA,
Pempek Cawan Putih - Kebon Sirih,
Ngops Naks Nich Coffee,
Tantular Cafe Pesanggrahan,
"Sate Khas Senayan, Plaza Indonesia",
Dealer Mitsubishi Tebet Sales & Service,Transportasi
A&W Restaurant - Perhimpunan Marga Huang,Makanan & Minuman
Starbucks Cik Ditiro,Makanan & Minuman
Dunkin' Donuts SPBU Tanjung Barat,Makanan & Minuman
Abidzar boba drink(ABOBA),Makanan & Minuman
Subway - Central Park,Makanan & Minuman
KFC,Makanan & Minuman
Sunter Anjay,Uang Keluar
Jamsostek Mangga Dua,Tagihan
Prudential Bekasi Timur,Tagihan
Soto Ayam Lamongan Pak Murianto,
Solaria Plaza Atrium,
LOUIS VUITTON FLAGSHIP STORE Jakarta Plaza Indonesia Store,
A & A Law Office,
Dewata by Monsieur Spoon Sarinah,
Teman ngops,
Satay Booth Pak Heri Original,
Dealer Mitsubishi Latumenten - PT. Bumen Redja Abadi,Transportasi
A&W Restoran - Plaza Festival,Makanan & Minuman
Starbucks Grand Indonesia Seibu,Makanan & Minuman
Dunkin' Donuts,Makanan & Minuman
Subway - Pacific Place Mall,Makanan & Minuman
Janji Jiwa & Jiwa Toast Gedung AGD DINKES DKI JAKARTA,Makanan & Minuman
Swab Pluit ke Quicktest aja,Kesehatan
Sate Babi Ko Lim,
Solaria - Plaza Festival Mall Kuningan,
APRI Collection,
Toko Hans,
Hans Mobile,
Kopi Janji Jiwa Plaza Atrium Jilid 123,
Louis allshop,
Pasar Tanah Abang Blok A,
Asia Dewata,
Pempek Palembang Arco,
PT Juda Teruna Mitsubishi Motors,Transportasi
A&W Restoran - Plaza Semanggi,Makanan & Minuman
Starbucks Sabang,Makanan & Minuman
Dunkin' Donuts,Makanan & Minuman
Subway - Wisma 46,Makanan & Minuman
Kopi Janji Jiwa Gloria Suites,Makanan & Minuman
Swabaja Golden,Kesehatan
3Point Cafe & Resto,
Solaria - Thamrin City Mall,
APRI,
Han Cafe,
McDonald's Cipayung,
Louis Brides,
Lapangan Basket Blok A,
Dewata Toko,
Pempek NONY 168 Jakarta,
Ngops,
Sate Ayam Pak Ahmad,
Mitsubishi Srikandi Mampang,Transportasi
A&W Restaurant - Blok M Square,Makanan & Minuman
Starbucks Bendungan Hilir,Makanan & Minuman
Dunkin' Donuts - Plaza Kalibata,Makanan & Minuman
Subway - PIK,Makanan & Minuman
Kopi sejuta jiwa by janji jiwa,Makanan & Minuman
Swabaja PIK,Kesehatan
WILLBE Restaurant & Cafe,
Louis Kebab,
Simpang Blok A,
Fore Coffee - Tanjung Duren,
"Nasi Ayam Dewata, Satrio",
Warung Pepek Rumeng Mas Darta,
"Sate & Seafood Senayan, Menteng",
Dealer Mitsubishi Tebet Bumen Redja Abadi,Transportasi
A&W Restoran - ITC Permata Hijau 1,Makanan & Minuman
Starbucks,Makanan & Minuman
Dunkin',Makanan & Minuman
Subway PIM 3,Makanan & Minuman
"Janji Jiwa, Jiwa Toast & Joomba Sayana Apartment",Makanan & Minuman
Kopi Janji jiwa Katamso Jilid 52,Makanan & Minuman
Swab Aja Office,Kesehatan
Amyréa Art & Kitchen,
Lawless Burgerbar Menteng,
A&W Restoran - Mampang,Makanan & Minuman
Starbucks,Makanan & Minuman
Dunkin' Donuts Mall Ambasador,Makanan & Minuman
ABOBA DRINK TAMAN SAWANGAN BARU,Makanan & Minuman
Menya Sakura - ÆON Mall BSD City,Makanan & Minuman
SUBWAY - Lippo Mall Puri,Makanan & Minuman
McDonald's Mampang,Makanan & Minuman
Kopi Janji Jiwa Slipi Jaya Jilid 173,Makanan & Minuman
DEALER MITSUBISHI JAKARTA BARAT (PENJUALAN),Transportasi
SWAB & MCU Family Clinic,Kesehatan
Cafe Safari,
Lawless Burgerbar Blok M,
A&W Restoran - Rawamangun,Makanan & Minuman
Starbucks Plaza Indonesia Lv 4,Makanan & Minuman
Dunkin' Donuts Rs Harapan Kita,Makanan & Minuman
Menya Sakura Mall Kota Kasablanka,Makanan & Minuman
McDonald's PGC,Makanan & Minuman
Starbucks Cideng,Makanan & Minuman
MITSUBISHI KELAPA GADING,Transportasi
Ciledug Swab Center,Kesehatan
Gregors Cafe,
Lawless Burgerbar Bekasi,
A&W Restoran - Mall Ambasador,Makanan & Minuman
Starbucks,Makanan & Minuman
Menya Ichiza,Makanan & Minuman
McDonald's,Makanan & Minuman
QR LAB SWAB TEST PV,Kesehatan
Cecemuwe Cafe and Space - Senayan,
Lawless Dogbar,
A&W Restaurant - RS St. Carolus,Makanan & Minuman
Starbucks Plaza Menteng,Makanan & Minuman
DUNKIN' Arteri Pondok Indah,Makanan & Minuman
Menya Musashi Bukotsu,Makanan & Minuman
McDonald's Jatipadang,Makanan & Minuman
Starbucks Community Store Tanah Abang,Makanan & Minuman
DEALER SHOWROOM MITSUBISHI JAKARTA PUSAT (SALES),Transportasi
Jakarta Swab Centre,Kesehatan
Kohicha Japanese Cafe,
Lawless Jakarta,
Aw,Makanan & Minuman
Dunkin’ Hayam Wuruk,Makanan & Minuman
Menya Sakura,Makanan & Minuman
McCafe,Makanan & Minuman
Mitsubishi BATAVIA PULO GADUNG OFFICIAL,Transportasi
Swabaja Kalideres,Kesehatan
Cafe De Burse,
Lawless Kitchen,
D' Bebeks,Makanan & Minuman
BEBEK TRIPLE S - Sambal Suka-Suka,Makanan & Minuman
Sate Babi Benteng,Makanan & Minuman
Tk.wendy's,Makanan & Minuman
Wendy's Shell soepomo,Makanan & Minuman
Popeyes Pemuda Rawamangun,Makanan & Minuman
Popeye Skyline Building Thamrin,Makanan & Minuman
"Fore Coffee - Plaza Indonesia, Jakarta",Makanan & Minuman
A&W Restoran - Ratu Plaza,Makanan & Minuman
Starbucks Djakarta Theater,Makanan & Minuman
Starbucks TCC Batavia,Makanan & Minuman
SwabID,Kesehatan
Dunkin Donuts Mangga Besar,Makanan & Minuman
abuba steak - jatiasih,Makanan & Minuman
Menya Musashi,Makanan & Minuman
KFC Plaza Semanggi,
Zi-Nie Exclusive,Belanja
Lapak TIVERA 1,Belanja
BRUTUS CELLULER,Belanja
Brutus Rumah Mode Alam Sutera,Belanja
Gojek pom,Transportasi
Eiger Salemba Tengah,Belanja
EIGER Adventure Store Bintaro Tangerang Selatan,Belanja
Mitsubishi Sun Motor Matraman,Transportasi
Lawless Burgerbar P.I.K,
A & W,Makanan & Minuman
Starbucks Setiabudi One,Makanan & Minuman
Soto Betawi Pak Kumis Mampang Prapatan,Makanan & Minuman
Soto sapi khas betawi pak kumis,Makanan & Minuman
warung soto ayam pak kumis,Makanan & Minuman
Menya Sakura,Makanan & Minuman
Popeyes Lenteng Agung,Makanan & Minuman
Mitsubishi Srikandi Pos Pengumben,Transportasi
PT Syn Toba Grafika,Belanja
Tali string Monaco textile,Hobi & Gaya Hidup
Allfour Strings,Hobi & Gaya Hidup
DRIVE THRU SWAB RALINE MEDICA,Kesehatan
KFC Coffee GBK,
Lawless Burgerbar PIM 3,
A&W Restoran - Cipete,Makanan & Minuman
Starbucks UOB Plaza,Makanan & Minuman
DUNKIN' Bandengan,Makanan & Minuman
Menya Ichiza,Makanan & Minuman
PT Mitsubishi Motors Krama Yudha Sales Indonesia (MMKSI),Transportasi
FASTLab Swab Point Crowne Plaza,Kesehatan
KFC Naughty by Nature,
Lawless Jakarta Indonesia HQ,
A&W Restoran - Ancol (Pantai Indah),Makanan & Minuman
Starbucks MRT Bundaran HI,Makanan & Minuman
Dunkin',Makanan & Minuman
Menya Musashi Bukotsu Summarecon Bekasi,Makanan & Minuman
Pass Swab Puri,Kesehatan
KFC,
LAWLESS TATTOO,
Mitsubishi Dipo Gatsu,Transportasi
Colabpharma.id,Kesehatan
A&W Restaurant - Mangga Dua Square UG,Makanan & Minuman
Starbucks Drive Thru Hayam Wuruk,Makanan & Minuman
DUNKIN DONUTS Hasyim Ashari,Makanan & Minuman
Ayam Kalasan Bu Nur,Makanan & Minuman
KFC,Makanan & Minuman
KFC,
Micky String Orchestra,
Mitsubishi Pusat Jakarta,Transportasi
A&W Restoran - Puri Indah Mall,Makanan & Minuman
Starbucks Tata Puri,Makanan & Minuman
DUNKIN' Kramat Raya,Makanan & Minuman
Ayam Goreng Bu Min 73,Makanan & Minuman
Rapid Test Antigen dan PCR Test Kranggan Permai,Kesehatan
KFC,
Soto dan Sop Bu yanti,
Kedai Tjikini,
PT. Lautan Berlian Jembatan Lima,Belanja
Mitsubishi jakarta,Transportasi
Starbucks,Makanan & Minuman
Shangri-La Jakarta,Hiburan
KFC,
Dunkin' Donuts,Makanan & Minuman
DUNKIN' Rawamangun,Makanan & Minuman
Abuba Steak,Makanan & Minuman
ABUBA Steak - Senopati,Makanan & Minuman
ABUBA Steak - Mampang,Makanan & Minuman
Abuba Steak - Jatiwaringin,Makanan & Minuman
ABUBA Steak - Ciputat,Makanan & Minuman
ABUBA Steak,Makanan & Minuman
ABUBA steak - Citra Garden,Makanan & Minuman
Abuba Steak,Makanan & Minuman
Abuba Steak,Makanan & Minuman
ABUBA Steak - Green Lake,Makanan & Minuman
ABUBA Steak - Tanjung Duren,Makanan & Minuman
ABUBA Steak - Cinere,Makanan & Minuman
ABUBA Steak - Buaran,Makanan & Minuman
Abuba Steak,Makanan & Minuman
ABUBA Steak - Gandaria,Makanan & Minuman
ABUBA Steak - Cipete,Makanan & Minuman
ABUBA Steak - Matraman,Makanan & Minuman
Abuba Steak Tebet,Makanan & Minuman
Abuba Steak,Makanan & Minuman
SOTO SUROBOYO ( SBY ),
Pondok Shangrila,Hiburan
Catering 70,Makanan & Minuman
Ayam Geprek Si Cocoh,Makanan & Minuman
KFC Box Thamrin City,Makanan & Minuman
PT Syn Berta Utama,Belanja
Bank Negara Indonesia - KLN Rasuna Said,Uang Keluar
KFC,
Soto Bang Udin Graha Mandiri,
Bakmi Sangrila,Makanan & Minuman
Bakso Super 70,Makanan & Minuman
KFC Cikini,Makanan & Minuman
Ayam goreng kampung lima,Makanan & Minuman
KFC Pasar Baru Jakarta,Makanan & Minuman
KFC,Makanan & Minuman
BNI,Uang Keluar
KFC Maxx Karawaci,
WARUNG SOTO SURABAYA (SBY),
Pizza Hut Ristorante - Kota Kasablanka Mall,
Warung Soto Ceker & Ranjau Pak Gendut,
SOTO MIE BOGOR DOGOL,
Sorry jakarta,Makanan & Minuman
Dapoer Ayam Sorry,Makanan & Minuman
DAPOER CICI 70,Makanan & Minuman
Mie Ayam 70,Makanan & Minuman
